Marca,Modelo,Emplacados,Acumulado Anual,Categoria,Data
FIAT,MOBI,6807,39041,Veículos de Entrada,2024-07-02
RENAULT,KWID,3520,29155,Veículos de Entrada,2024-07-02
VW,GOL,3,33,Veículos de Entrada,2024-07-02
FIAT,UNO,3,10,Veículos de Entrada,2024-07-02
VW,UP,1,4,Veículos de Entrada,2024-07-02
GM,CHEVETTE,0,3,Veículos de Entrada,2024-07-02
FIAT,PALIO,0,2,Veículos de Entrada,2024-07-02
FORD,KA,0,1,Veículos de Entrada,2024-07-02
GM,CELTA,0,1,Veículos de Entrada,2024-07-02
VW,POLO,12543,70405,Hatch Pequenos,2024-07-02
GM,ONIX,7423,51026,Hatch Pequenos,2024-07-02
HYUNDAI,HB20,7228,49924,Hatch Pequenos,2024-07-02
FIAT,ARGO,8663,48284,Hatch Pequenos,2024-07-02
TOYOTA,YARIS_HB,2819,15132,Hatch Pequenos,2024-07-02
CITROEN,C3,2111,12242,Hatch Pequenos,2024-07-02
PEUGEOT,208,2371,12241,Hatch Pequenos,2024-07-02
BYD,DOLPHIN,1467,11074,Hatch Pequenos,2024-07-02
BYD,DOLPHIN_MINI,1488,10536,Hatch Pequenos,2024-07-02
HONDA,CITY_HATCH,1590,7264,Hatch Pequenos,2024-07-02
GWM,ORA_03,398,4085,Hatch Pequenos,2024-07-02
RENAULT,SANDERO,432,2527,Hatch Pequenos,2024-07-02
AUDI,A3,28,215,Hatch Médios,2024-07-02
GM,CRUZE_HB,4,177,Hatch Médios,2024-07-02
HONDA,CIVIC_TYPE-R,7,52,Hatch Médios,2024-07-02
MBENZ,CLASSE_A,4,37,Hatch Médios,2024-07-02
TOYOTA,COROLLA_GR,4,33,Hatch Médios,2024-07-02
BMW,118i,2,28,Hatch Médios,2024-07-02
FIAT,CRONOS,2603,19366,Sedans Pequenos,2024-07-02
HYUNDAI,HB20S,3048,17129,Sedans Pequenos,2024-07-02
RENAULT,LOGAN,644,2137,Sedans Pequenos,2024-07-02
VW,VOYAGE,1,8,Sedans Pequenos,2024-07-02
FIAT,SIENA,2,6,Sedans Pequenos,2024-07-02
FORD,KA_SEDAN,0,1,Sedans Pequenos,2024-07-02
GM,PRISMA,0,1,Sedans Pequenos,2024-07-02
GM,ONIX_PLUS,4864,34771,Sedans Compactos,2024-07-02
VW,VIRTUS,2906,17892,Sedans Compactos,2024-07-02
TOYOTA,YARIS_SEDAN,2291,12063,Sedans Compactos,2024-07-02
HONDA,CITY,1701,7901,Sedans Compactos,2024-07-02
NISSAN,VERSA,1327,7277,Sedans Compactos,2024-07-02
GM,COBALT,0,1,Sedans Compactos,2024-07-02
TOYOTA,COROLLA,3500,20002,Sedans médios,2024-07-02
NISSAN,SENTRA,728,3260,Sedans médios,2024-07-02
BYD,SEAL,221,2413,Sedans médios,2024-07-02
VW,JETTA,245,1795,Sedans médios,2024-07-02
HONDA,CIVIC,146,844,Sedans médios,2024-07-02
GM,CRUZE_SEDAN,27,745,Sedans médios,2024-07-02
BYD,KING,593,671,Sedans médios,2024-07-02
MBENZ,CLA200,62,295,Sedans médios,2024-07-02
AUDI,A3_SEDAN,31,242,Sedans médios,2024-07-02
AUDI,A5,35,209,Sedans médios,2024-07-02
BMW,420I,8,72,Sedans médios,2024-07-02
MBENZ,CLA45,3,52,Sedans médios,2024-07-02
MBENZ,CLA35,14,44,Sedans médios,2024-07-02
CAOA_CHERY,ARRIZO_6,1,25,Sedans médios,2024-07-02
BMW,218I,2,17,Sedans médios,2024-07-02
