marca,modelo,emplacados,acumulado_anual,data
FIAT,MOBI,6148,26233,2024-05-02
RENAULT,KWID,2797,21116,2024-05-02
VW,GOL,3,28,2024-05-02
FIAT,UNO,1,7,2024-05-02
VW,UP,0,3,2024-05-02
FIAT,PALIO,0,2,2024-05-02
GM,CHEVETTE,1,2,2024-05-02
GM,CELTA,1,1,2024-05-02
TOYOTA,ETIOS_HB,1,1,2024-05-02
VW,POLO,8484,48181,2024-05-02
GM,ONIX,7901,34752,2024-05-02
HYUNDAI,HB20,6691,32938,2024-05-02
FIAT,ARGO,5552,32204,2024-05-02
TOYOTA,YARIS_HB,1757,9979,2024-05-02
CITROEN,C3,1580,8146,2024-05-02
BYD,DOLPHIN,1145,8095,2024-05-02
BYD,DOLPHIN_MINI,2104,7734,2024-05-02
PEUGEOT,208,1531,7505,2024-05-02
HONDA,CITY_HATCH,957,4442,2024-05-02
GWM,ORA_03,534,3098,2024-05-02
RENAULT,SANDERO,280,1878,2024-05-02
GM,CRUZE_HB,19,161,2024-05-02
AUDI,A3,29,159,2024-05-02
HONDA,CIVIC_TYPE-R,3,38,2024-05-02
MBENZ,CLASSE_A,7,26,2024-05-02
NISSAN,LEAF,1,26,2024-05-02
BMW,118i,4,25,2024-05-02
FIAT,CRONOS,3494,13363,2024-05-02
HYUNDAI,HB20S,3130,10322,2024-05-02
RENAULT,LOGAN,85,1181,2024-05-02
VW,VOYAGE,1,5,2024-05-02
FIAT,SIENA,1,3,2024-05-02
FORD,KA_SEDAN,0,1,2024-05-02
GM,PRISMA,0,1,2024-05-02
GM,ONIX_PLUS,5517,23369,2024-05-02
VW,VIRTUS,2045,12426,2024-05-02
TOYOTA,YARIS_SEDAN,1449,7684,2024-05-02
HONDA,CITY,1058,4857,2024-05-02
NISSAN,VERSA,699,4676,2024-05-02
VW,POLO_SEDAN,0,1,2024-05-02
TOYOTA,COROLLA,2400,13313,2024-05-02
NISSAN,SENTRA,497,2039,2024-05-02
BYD,SEAL,213,1910,2024-05-02
VW,JETTA,236,1279,2024-05-02
GM,CRUZE_SEDAN,84,678,2024-05-02
HONDA,CIVIC,113,591,2024-05-02
MBENZ,CLA200,65,186,2024-05-02
AUDI,A3_SEDAN,29,182,2024-05-02
AUDI,A5,36,136,2024-05-02
BMW,420I,5,55,2024-05-02
MBENZ,CLA45,11,41,2024-05-02
CAOA_CHERY,ARRIZO_6,2,24,2024-05-02
MBENZ,CLA35,5,14,2024-05-02
BMW,218I,1,12,2024-05-02
JAC,E-J7,2,11,2024-05-02
HYUNDAI,IONIQ,0,3,2024-05-02
TESLA,MODEL_3,1,2,2024-05-02
HYUNDAI,ELANTRA,0,1,2024-05-02
KIA,CERATO,0,1,2024-05-02
ROLLS_ROYCE,ROLLS_ROYCE,0,1,2024-05-02
VW,BORA,0,1,2024-05-02
BMW,320I,470,1659,2024-05-02
MBENZ,CLASSE_C,115,519,2024-05-02
PORSCHE,PANAMERA,56,170,2024-05-02
BMW,330E,10,109,2024-05-02
HONDA,ACCORD,16,100,2024-05-02
MBENZ,CLA200,0,79,2024-05-02
AUDI,A4,21,60,2024-05-02
LEXUS,ES300,8,45,2024-05-02
BMW,I4,6,28,2024-05-02
BYD,HAN,0,26,2024-05-02
TOYOTA,CAMRY,2,21,2024-05-02
BMW,I5,4,14,2024-05-02
FORD,BELINA,0,1,2024-05-02
VW,SPACE_FOX,0,1,2024-05-02
AUDI,RS6_AVANT,3,27,2024-05-02
VW,QUANTUM,0,1,2024-05-02
GM,BOLT,10,14,2024-05-02
FIAT,DOBLO,0,1,2024-05-02
HONDA,FIT,1,1,2024-05-02
GM,SPIN,2529,7162,2024-05-02
TOYOTA,SIENNA,3,12,2024-05-02
CHRYSLER,PACIFICA,1,10,2024-05-02
BYD,D1,0,8,2024-05-02
PORSCHE,911,116,717,2024-05-02
PORSCHE,BOXSTER,47,313,2024-05-02
PORSCHE,CAYMAN,28,129,2024-05-02
BMW,M2,26,107,2024-05-02
BMW,M3,12,98,2024-05-02
FORD,MUSTANG,20,68,2024-05-02
GM,CAMARO,10,68,2024-05-02
PORSCHE,TAYCAN,14,61,2024-05-02
GM,CORVETTE,11,44,2024-05-02
VW,T_CROSS,6501,25583,2024-05-02
HYUNDAI,CRETA,5739,24673,2024-05-02
NISSAN,KICKS,5910,23505,2024-05-02
GM,TRACKER,4613,22948,2024-05-02
VW,NIVUS,4546,20507,2024-05-02
JEEP,RENEGADE,4173,18957,2024-05-02
JEEP,COMPASS,3282,18831,2024-05-02
FIAT,FASTBACK,3589,18178,2024-05-02
HONDA,HR-V,3660,17651,2024-05-02
TOYOTA,COROLLA_CROSS,4565,17606,2024-05-02
FIAT,PULSE,3084,15146,2024-05-02
CAOA_CHERY,TIGGO_5X,2446,11611,2024-05-02
RENAULT,DUSTER,1189,8804,2024-05-02
BYD,SONG_PLUS,1560,8128,2024-05-02
CAOA_CHERY,TIGGO_7,1694,7574,2024-05-02
GWM,HAVAL_H6,1438,6890,2024-05-02
TOYOTA,HILUX_SW4,1063,6177,2024-05-02
JEEP,COMMANDER,1176,5489,2024-05-02
VW,TAOS,1235,5122,2024-05-02
CAOA_CHERY,TIGGO_8,774,3767,2024-05-02
RENAULT,KARDIAN,1203,3438,2024-05-02
MITSUBISHI,ECLIPSE_CROSS,734,3225,2024-05-02
CITROEN,C3_AIRCROSS,845,2898,2024-05-02
HONDA,ZR-V,491,2439,2024-05-02
FORD,TERRITORY,435,2049,2024-05-02
BMW,X1,439,1882,2024-05-02
VW,TIGUAN,313,1574,2024-05-02
VOLVO,XC60,267,1204,2024-05-02
BYD,YUAN_PLUS,193,1112,2024-05-02
TOYOTA,RAV4,357,1081,2024-05-02
GM,EQUINOX,163,1010,2024-05-02
AUDI,Q3,179,939,2024-05-02
FORD,BRONCO,154,908,2024-05-02
MITSUBISHI,PAJERO,165,802,2024-05-02
LAND_ROVER,DISCOVERY,143,703,2024-05-02
PEUGEOT,2008,92,698,2024-05-02
GM,TRAILBLAZER,253,681,2024-05-02
CITROEN,C4_CACTUS,64,648,2024-05-02
AUDI,Q5,85,632,2024-05-02
BMW,X3,171,543,2024-05-02
