marca,modelo,emplacados,acumulado_anual,data,year,month
HONDA,CIVIC,1133,1133,2022-01-02,2022,1
GM,ONIX_PLUS,3431,3431,2022-01-02,2022,1
HONDA,CITY,1011,1011,2022-01-02,2022,1
NISSAN,VERSA,794,794,2022-01-02,2022,1
VW,VIRTUS,612,612,2022-01-02,2022,1
TOYOTA,YARIS_SEDAN,593,593,2022-01-02,2022,1
CAOA_CHERY,ARRIZO_5,2,2,2022-01-02,2022,1
TOYOTA,COROLLA,2142,2142,2022-01-02,2022,1
GM,CRUZE_SEDAN,458,458,2022-01-02,2022,1
CAOA_CHERY,ARRIZO_6,270,270,2022-01-02,2022,1
AUDI,A3_SEDAN,60,60,2022-01-02,2022,1
FORD,BRONCO,71,71,2022-01-02,2022,1
BMW,X3,71,71,2022-01-02,2022,1
BMW,X5,74,74,2022-01-02,2022,1
NISSAN,V-DRIVE,0,0,2022-01-02,2022,1
SUBARU,XV,76,76,2022-01-02,2022,1
AUDI,Q3,86,86,2022-01-02,2022,1
LAND_ROVER,DEFENDER,88,88,2022-01-02,2022,1
LAND_ROVER,DISCOVERY,92,92,2022-01-02,2022,1
FORD,TERRITORY,119,119,2022-01-02,2022,1
BMW,X1,136,136,2022-01-02,2022,1
MITSUBISHI,ECLIPSE_CROSS,139,139,2022-01-02,2022,1
AUDI,Q5,166,166,2022-01-02,2022,1
MITSUBISHI,Outlander,184,184,2022-01-02,2022,1
VOLVO,XC60,198,198,2022-01-02,2022,1
VOLVO,XC40,219,219,2022-01-02,2022,1
MBENZ,CLASSE_GLB,219,219,2022-01-02,2022,1
HYUNDAI,TUCSON,220,220,2022-01-02,2022,1
GM,TRAILBLAZER,347,347,2022-01-02,2022,1
MITSUBISHI,PAJERO,78,78,2022-01-02,2022,1
GM,PRISMA,1,1,2022-01-02,2022,1
TOYOTA,ETIOS_SEDAN,2,2,2022-01-02,2022,1
NISSAN,VERSA,2,2,2022-01-02,2022,1
FIAT,UNO,622,622,2022-01-02,2022,1
VW,FUSCA,10,10,2022-01-02,2022,1
VW,UP,1,1,2022-01-02,2022,1
FIAT,PALIO,0,0,2022-01-02,2022,1
TOYOTA,ETIOS_HB,0,0,2022-01-02,2022,1
HYUNDAI,HB20,5634,5634,2022-01-02,2022,1
GM,ONIX,5205,5205,2022-01-02,2022,1
FIAT,ARGO,2676,2676,2022-01-02,2022,1
PEUGEOT,208,1989,1989,2022-01-02,2022,1
TOYOTA,YARIS_HB,955,955,2022-01-02,2022,1
RENAULT,SANDERO,607,607,2022-01-02,2022,1
VW,POLO,253,253,2022-01-02,2022,1
MINI,COOPER,75,75,2022-01-02,2022,1
RENAULT,ZOE,51,51,2022-01-02,2022,1
JAC,E-JS1,30,30,2022-01-02,2022,1
VW_FOX,CROSS_FOX,23,23,2022-01-02,2022,1
FIAT,500E,19,19,2022-01-02,2022,1
AUDI,A3,48,48,2022-01-02,2022,1
NISSAN,LEAF,41,41,2022-01-02,2022,1
GM,CRUZE_HB,21,21,2022-01-02,2022,1
BMW,I3,12,12,2022-01-02,2022,1
MBENZ,CLASSE_A,3,3,2022-01-02,2022,1
FORD,FOCUS,2,2,2022-01-02,2022,1
HYUNDAI,HB20S,2391,2391,2022-01-02,2022,1
FIAT,CRONOS,1732,1732,2022-01-02,2022,1
FIAT,SIENA,666,666,2022-01-02,2022,1
RENAULT,LOGAN,607,607,2022-01-02,2022,1
VW,VOYAGE,479,479,2022-01-02,2022,1
FORD,KA_SEDAN,2,2,2022-01-02,2022,1
CAOA_CHERY,TIGGO_7,512,512,2022-01-02,2022,1
FIAT,MOBI,2528,2528,2022-01-02,2022,1
RENAULT,CAPTUR,567,567,2022-01-02,2022,1
HONDA,WR-V,600,600,2022-01-02,2022,1
HONDA,FIT,154,154,2022-01-02,2022,1
AUDI,RS4_AVANT,0,0,2022-01-02,2022,1
GM,CARAVAN,1,1,2022-01-02,2022,1
AUDI,RS6_AVANT,2,2,2022-01-02,2022,1
VW,SPACE_FOX,0,0,2022-01-02,2022,1
FIAT,PALIO_WEEKEND,1,1,2022-01-02,2022,1
TESLA,MODEL_S,4,4,2022-01-02,2022,1
VOLVO,S90,4,4,2022-01-02,2022,1
MBENZ,CLA250,5,5,2022-01-02,2022,1
BMW,530E,5,5,2022-01-02,2022,1
AUDI,E_TRON_GT,5,5,2022-01-02,2022,1
HONDA,ACCORD,6,6,2022-01-02,2022,1
BMW,M340I,6,6,2022-01-02,2022,1
FIAT,DOBLO,48,48,2022-01-02,2022,1
PORSCHE,PANAMERA,14,14,2022-01-02,2022,1
AUDI,A4,25,25,2022-01-02,2022,1
MBENZ,CLASSE_C,138,138,2022-01-02,2022,1
BMW,320I,259,259,2022-01-02,2022,1
MBENZ,CLA45,0,0,2022-01-02,2022,1
GM,IMPALA,0,0,2022-01-02,2022,1
BMW,430I,0,0,2022-01-02,2022,1
MBENZ,CLA35,2,2,2022-01-02,2022,1
BMW,420I,2,2,2022-01-02,2022,1
MBENZ,CLASSE_A,3,3,2022-01-02,2022,1
BMW,218I,3,3,2022-01-02,2022,1
BMW,M440I,4,4,2022-01-02,2022,1
BMW,M235I,5,5,2022-01-02,2022,1
AUDI,A5,18,18,2022-01-02,2022,1
BMW,330E,17,17,2022-01-02,2022,1
GM,BOLT,1,1,2022-01-02,2022,1
GM,SPIN,513,513,2022-01-02,2022,1
KIA,CARNIVAL,49,49,2022-01-02,2022,1
CAOA_CHERY,TIGGO_8,670,670,2022-01-02,2022,1
TOYOTA,HILUX_SW4,889,889,2022-01-02,2022,1
VW,TAOS,946,946,2022-01-02,2022,1
CAOA_CHERY,TIGGO_3X,1023,1023,2022-01-02,2022,1
VW,NIVUS,1384,1384,2022-01-02,2022,1
JEEP,COMMANDER,1437,1437,2022-01-02,2022,1
RENAULT,DUSTER,1445,1445,2022-01-02,2022,1
PEUGEOT,2008,1631,1631,2022-01-02,2022,1
NISSAN,KICKS,1682,1682,2022-01-02,2022,1
HONDA,HR-V,1792,1792,2022-01-02,2022,1
CITROEN,C4_CACTUS,2283,2283,2022-01-02,2022,1
GM,TRACKER,2376,2376,2022-01-02,2022,1
TOYOTA,COROLLA_CROSS,2478,2478,2022-01-02,2022,1
FIAT,PULSE,3192,3192,2022-01-02,2022,1
VW,T_CROSS,3761,3761,2022-01-02,2022,1
HYUNDAI,CRETA,4175,4175,2022-01-02,2022,1
JEEP,COMPASS,4905,4905,2022-01-02,2022,1
JEEP,RENEGADE,4999,4999,2022-01-02,2022,1
MBENZ,AMG_GT_BS,3,3,2022-01-02,2022,1
AUDI,TT,3,3,2022-01-02,2022,1
GM,CORVETTE,5,5,2022-01-02,2022,1
BMW,M3,5,5,2022-01-02,2022,1
PORSCHE,CAYMAN,8,8,2022-01-02,2022,1
PORSCHE,BOXSTER,10,10,2022-01-02,2022,1
PORSCHE,911,16,16,2022-01-02,2022,1
PORSCHE,TAYCAN,21,21,2022-01-02,2022,1
FORD,MUSTANG,48,48,2022-01-02,2022,1
TOYOTA,SIENNA,1,1,2022-01-02,2022,1
CHRYSLER,PACIFICA,1,1,2022-01-02,2022,1
CAOA_CHERY,TIGGO_5X,598,598,2022-01-02,2022,1
VW,JETTA,26,26,2022-01-02,2022,1
RENAULT,KWID,3180,3180,2022-01-02,2022,1
KIA,CERATO,44,44,2022-01-02,2022,1
VW,GOL,3435,3435,2022-01-02,2022,1
FIAT,MOBI,4162,6689,2022-02-02,2022,2
GM,ONIX_PLUS,4489,7920,2022-02-02,2022,2
HONDA,CITY,2326,3337,2022-02-02,2022,2
NISSAN,VERSA,1056,1850,2022-02-02,2022,2
TOYOTA,YARIS_SEDAN,1202,1794,2022-02-02,2022,2
VW,VIRTUS,301,913,2022-02-02,2022,2
GM,COBALT,4,4,2022-02-02,2022,2
TOYOTA,COROLLA,2729,4871,2022-02-02,2022,2
HONDA,CIVIC,471,1604,2022-02-02,2022,2
GM,CRUZE_SEDAN,477,935,2022-02-02,2022,2
CAOA_CHERY,ARRIZO_6,166,436,2022-02-02,2022,2
AUDI,A3_SEDAN,56,116,2022-02-02,2022,2
KIA,CERATO,38,82,2022-02-02,2022,2
VW,JETTA,10,36,2022-02-02,2022,2
AUDI,A5,16,34,2022-02-02,2022,2
BMW,218I,4,7,2022-02-02,2022,2
MBENZ,CLA35,5,7,2022-02-02,2022,2
MBENZ,CLASSE_A,4,7,2022-02-02,2022,2
BMW,M235I,0,5,2022-02-02,2022,2
BMW,M440I,0,4,2022-02-02,2022,2
BMW,420I,0,2,2022-02-02,2022,2
MBENZ,CLASSE_C,1,1,2022-02-02,2022,2
BMW,320I,447,706,2022-02-02,2022,2
MBENZ,CLASSE_C,163,301,2022-02-02,2022,2
PORSCHE,PANAMERA,23,37,2022-02-02,2022,2
BMW,330E,15,32,2022-02-02,2022,2
AUDI,A4,3,28,2022-02-02,2022,2
BMW,M340I,8,14,2022-02-02,2022,2
GM,CORSA_SEDAN,1,1,2022-02-02,2022,2
TOYOTA,ETIOS_SEDAN,0,2,2022-02-02,2022,2
FORD,KA_SEDAN,0,2,2022-02-02,2022,2
BMW,530E,6,11,2022-02-02,2022,2
VW,GOL,1710,5145,2022-02-02,2022,2
FIAT,UNO,46,668,2022-02-02,2022,2
VW,FUSCA,2,12,2022-02-02,2022,2
VW,UP,1,2,2022-02-02,2022,2
GM,CELTA,1,1,2022-02-02,2022,2
HYUNDAI,HB20,6161,11795,2022-02-02,2022,2
GM,ONIX,6541,11744,2022-02-02,2022,2
FIAT,ARGO,4321,6997,2022-02-02,2022,2
PEUGEOT,208,1847,3836,2022-02-02,2022,2
TOYOTA,YARIS_HB,2067,3022,2022-02-02,2022,2
RENAULT,SANDERO,469,1076,2022-02-02,2022,2
VW,POLO,295,548,2022-02-02,2022,2
HONDA,CITY_HATCH,245,247,2022-02-02,2022,2
RENAULT,KWID,4262,7442,2022-02-02,2022,2
MINI,COOPER,64,139,2022-02-02,2022,2
JAC,E-JS1,48,78,2022-02-02,2022,2
RENAULT,ZOE,5,56,2022-02-02,2022,2
NISSAN,LEAF,49,90,2022-02-02,2022,2
AUDI,A3,28,76,2022-02-02,2022,2
GM,CRUZE_HB,53,74,2022-02-02,2022,2
MBENZ,CLASSE_A,2,5,2022-02-02,2022,2
FORD,FOCUS,0,2,2022-02-02,2022,2
HYUNDAI,HB20S,2055,4446,2022-02-02,2022,2
FIAT,SIENA,2637,3303,2022-02-02,2022,2
FIAT,CRONOS,839,2570,2022-02-02,2022,2
RENAULT,LOGAN,1363,1970,2022-02-02,2022,2
VW,VOYAGE,187,666,2022-02-02,2022,2
NISSAN,VERSA,2,4,2022-02-02,2022,2
FIAT,500E,88,107,2022-02-02,2022,2
GM,PRISMA,2,3,2022-02-02,2022,2
SUZUKI,JIMNY,73,129,2022-02-02,2022,2
TESLA,MODEL_S,4,8,2022-02-02,2022,2
NISSAN,KICKS,1112,2794,2022-02-02,2022,2
HONDA,HR-V,826,2618,2022-02-02,2022,2
PEUGEOT,2008,445,2076,2022-02-02,2022,2
TOYOTA,HILUX_SW4,997,1886,2022-02-02,2022,2
CAOA_CHERY,TIGGO_3X,786,1809,2022-02-02,2022,2
VW,TAOS,667,1613,2022-02-02,2022,2
CAOA_CHERY,TIGGO_8,878,1548,2022-02-02,2022,2
CAOA_CHERY,TIGGO_5X,649,1247,2022-02-02,2022,2
CAOA_CHERY,TIGGO_7,730,1242,2022-02-02,2022,2
RENAULT,CAPTUR,480,1047,2022-02-02,2022,2
HYUNDAI,TUCSON,820,1040,2022-02-02,2022,2
HONDA,WR-V,79,679,2022-02-02,2022,2
GM,TRAILBLAZER,113,460,2022-02-02,2022,2
RENAULT,DUSTER,1550,2993,2022-02-02,2022,2
MITSUBISHI,Outlander,224,408,2022-02-02,2022,2
MITSUBISHI,PAJERO,273,351,2022-02-02,2022,2
MBENZ,CLASSE_GLB,93,312,2022-02-02,2022,2
VOLVO,XC40,89,308,2022-02-02,2022,2
AUDI,Q5,126,292,2022-02-02,2022,2
MITSUBISHI,ECLIPSE_CROSS,140,279,2022-02-02,2022,2
BMW,X1,127,263,2022-02-02,2022,2
LAND_ROVER,DISCOVERY,129,221,2022-02-02,2022,2
BMW,X5,123,197,2022-02-02,2022,2
FORD,TERRITORY,64,183,2022-02-02,2022,2
FORD,BRONCO,89,160,2022-02-02,2022,2
LAND_ROVER,RANGE_ROVER,99,159,2022-02-02,2022,2
LAND_ROVER,EVOQUE,68,137,2022-02-02,2022,2
LAND_ROVER,DEFENDER,44,132,2022-02-02,2022,2
VOLVO,XC60,198,396,2022-02-02,2022,2
JEEP,COMMANDER,1614,3051,2022-02-02,2022,2
VW,NIVUS,2417,3801,2022-02-02,2022,2
CITROEN,C4_CACTUS,1587,3870,2022-02-02,2022,2
AUDI,E_TRON_GT,2,7,2022-02-02,2022,2
VOLVO,S90,1,5,2022-02-02,2022,2
FIAT,PALIO_WEEKEND,0,1,2022-02-02,2022,2
AUDI,RS6_AVANT,2,4,2022-02-02,2022,2
AUDI,RS4_AVANT,3,3,2022-02-02,2022,2
GM,CARAVAN,0,1,2022-02-02,2022,2
HONDA,FIT,55,209,2022-02-02,2022,2
FIAT,DOBLO,83,131,2022-02-02,2022,2
GM,BOLT,0,1,2022-02-02,2022,2
GM,SPIN,88,601,2022-02-02,2022,2
KIA,CARNIVAL,39,88,2022-02-02,2022,2
CHRYSLER,PACIFICA,0,1,2022-02-02,2022,2
TOYOTA,SIENNA,0,1,2022-02-02,2022,2
FORD,MUSTANG,21,69,2022-02-02,2022,2
PORSCHE,TAYCAN,22,43,2022-02-02,2022,2
PORSCHE,911,23,39,2022-02-02,2022,2
PORSCHE,BOXSTER,23,33,2022-02-02,2022,2
PORSCHE,CAYMAN,7,15,2022-02-02,2022,2
BMW,M3,8,13,2022-02-02,2022,2
MBENZ,AMG_GT_BS,9,12,2022-02-02,2022,2
GM,CORVETTE,4,9,2022-02-02,2022,2
JAGUAR,F-TYPE,7,7,2022-02-02,2022,2
JEEP,COMPASS,4503,9408,2022-02-02,2022,2
VW,T_CROSS,5118,8879,2022-02-02,2022,2
HYUNDAI,CRETA,4163,8338,2022-02-02,2022,2
JEEP,RENEGADE,2229,7227,2022-02-02,2022,2
TOYOTA,COROLLA_CROSS,3732,6210,2022-02-02,2022,2
GM,TRACKER,3419,5794,2022-02-02,2022,2
FIAT,PULSE,1843,5035,2022-02-02,2022,2
MBENZ,CLA250,4,9,2022-02-02,2022,2
HONDA,ACCORD,5,11,2022-02-02,2022,2
BMW,I3,0,12,2022-02-02,2022,2
GM,ONIX_PLUS,4179,12181,2022-03-02,2022,3
PEUGEOT,2008,393,2473,2022-03-02,2022,3
CAOA_CHERY,TIGGO_3X,708,2529,2022-03-02,2022,3
TOYOTA,HILUX_SW4,1201,3106,2022-03-02,2022,3
HONDA,HR-V,466,3107,2022-03-02,2022,3
CITROEN,C4_CACTUS,883,4794,2022-03-02,2022,3
JEEP,COMMANDER,1835,4932,2022-03-02,2022,3
RENAULT,DUSTER,1908,4984,2022-03-02,2022,3
NISSAN,KICKS,2569,5408,2022-03-02,2022,3
VW,NIVUS,3154,7015,2022-03-02,2022,3
FIAT,PULSE,3650,8729,2022-03-02,2022,3
TOYOTA,COROLLA_CROSS,4318,10584,2022-03-02,2022,3
GM,TRACKER,4748,10683,2022-03-02,2022,3
JEEP,RENEGADE,3789,11103,2022-03-02,2022,3
HYUNDAI,CRETA,4238,12667,2022-03-02,2022,3
JEEP,COMPASS,4724,14235,2022-03-02,2022,3
VW,T_CROSS,6549,15588,2022-03-02,2022,3
MBENZ,AMG_GT_BS,1,13,2022-03-02,2022,3
JAGUAR,F-TYPE,11,18,2022-03-02,2022,3
GM,CORVETTE,9,18,2022-03-02,2022,3
CAOA_CHERY,TIGGO_5X,1082,2346,2022-03-02,2022,3
CAOA_CHERY,TIGGO_8,543,2100,2022-03-02,2022,3
VW,TAOS,445,2074,2022-03-02,2022,3
CAOA_CHERY,TIGGO_7,646,1908,2022-03-02,2022,3
BMW,X1,395,673,2022-03-02,2022,3
LAND_ROVER,EVOQUE,79,217,2022-03-02,2022,3
LAND_ROVER,RANGE_ROVER,72,232,2022-03-02,2022,3
BMW,X5,51,249,2022-03-02,2022,3
KIA,STONIC,137,250,2022-03-02,2022,3
FORD,TERRITORY,80,265,2022-03-02,2022,3
PORSCHE,MACAN,176,278,2022-03-02,2022,3
FORD,BRONCO,145,313,2022-03-02,2022,3
LAND_ROVER,DISCOVERY,132,357,2022-03-02,2022,3
BMW,M3,8,21,2022-03-02,2022,3
AUDI,Q5,107,401,2022-03-02,2022,3
VOLVO,XC40,128,438,2022-03-02,2022,3
VOLVO,XC60,103,502,2022-03-02,2022,3
GM,TRAILBLAZER,80,540,2022-03-02,2022,3
MBENZ,CLASSE_GLB,264,578,2022-03-02,2022,3
MITSUBISHI,Outlander,208,620,2022-03-02,2022,3
MITSUBISHI,PAJERO,290,651,2022-03-02,2022,3
HONDA,WR-V,24,704,2022-03-02,2022,3
HYUNDAI,TUCSON,592,1641,2022-03-02,2022,3
RENAULT,CAPTUR,595,1682,2022-03-02,2022,3
MITSUBISHI,ECLIPSE_CROSS,138,421,2022-03-02,2022,3
TOYOTA,YARIS_SEDAN,1221,3036,2022-03-02,2022,3
PORSCHE,CAYMAN,7,22,2022-03-02,2022,3
PORSCHE,TAYCAN,26,69,2022-03-02,2022,3
BMW,320I,545,1271,2022-03-02,2022,3
MBENZ,CLASSE_C,0,1,2022-03-02,2022,3
BMW,430I,1,1,2022-03-02,2022,3
BMW,420I,1,3,2022-03-02,2022,3
MBENZ,CLA45,4,4,2022-03-02,2022,3
BMW,M235I,2,7,2022-03-02,2022,3
BMW,218I,0,7,2022-03-02,2022,3
BMW,M440I,4,8,2022-03-02,2022,3
MBENZ,CLASSE_A,5,12,2022-03-02,2022,3
MBENZ,CLA35,9,16,2022-03-02,2022,3
VW,JETTA,5,41,2022-03-02,2022,3
AUDI,A5,14,48,2022-03-02,2022,3
KIA,CERATO,41,125,2022-03-02,2022,3
AUDI,A3_SEDAN,64,182,2022-03-02,2022,3
CAOA_CHERY,ARRIZO_6,181,621,2022-03-02,2022,3
GM,CRUZE_SEDAN,746,1689,2022-03-02,2022,3
HONDA,CIVIC,250,1860,2022-03-02,2022,3
TOYOTA,COROLLA,4196,9110,2022-03-02,2022,3
GM,COBALT,11,15,2022-03-02,2022,3
MBENZ,CLASSE_C,88,392,2022-03-02,2022,3
PORSCHE,PANAMERA,16,53,2022-03-02,2022,3
BMW,330E,13,45,2022-03-02,2022,3
AUDI,A4,11,39,2022-03-02,2022,3
PORSCHE,911,40,80,2022-03-02,2022,3
FORD,MUSTANG,18,87,2022-03-02,2022,3
TOYOTA,SIENNA,0,1,2022-03-02,2022,3
