pos,marca,modelo,lastmonth,emplacados,acumulado_anual,market share,data
1º,FIAT,MOBI,6007,6807,39041,"57,20%",2024-07-02
2º,RENAULT,KWID,4520,3520,29155,"42,72%",2024-07-02
3º,VW,GOL,2,3,33,"0,05%",2024-07-02
4º,FIAT,UNO,0,3,10,"0,01%",2024-07-02
5º,VW,UP,0,1,4,"0,01%",2024-07-02
6º,GM,CHEVETTE,1,0,3,"0,00%",2024-07-02
7º,FIAT,PALIO,0,0,2,"0,00%",2024-07-02
8º,FORD,KA,1,0,1,"0,00%",2024-07-02
9º,GM,CELTA,0,0,1,"0,00%",2024-07-02
1º,VW,POLO,9683,12543,70405,"23,76%",2024-07-02
2º,GM,ONIX,8852,7423,51026,"17,22%",2024-07-02
3º,HYUNDAI,HB20,9760,7228,49924,"16,85%",2024-07-02
4º,FIAT,ARGO,7422,8663,48284,"16,30%",2024-07-02
5º,TOYOTA,YARIS_HB,2336,2819,15132,"5,11%",2024-07-02
6º,CITROEN,C3,1985,2111,12242,"4,13%",2024-07-02
7º,PEUGEOT,208,2367,2371,12241,"4,13%",2024-07-02
8º,BYD,DOLPHIN,1513,1467,11074,"3,74%",2024-07-02
9º,BYD,DOLPHIN_MINI,1318,1488,10536,"3,56%",2024-07-02
10º,HONDA,CITY_HATCH,1232,1590,7264,"2,45%",2024-07-02
11º,GWM,ORA_03,589,398,4085,"1,38%",2024-07-02
12º,RENAULT,SANDERO,217,432,2527,"0,85%",2024-07-02
1º,AUDI,A3,28,28,215,"35,71%",2024-07-02
2º,GM,CRUZE_HB,12,4,177,"29,40%",2024-07-02
3º,HONDA,CIVIC_TYPE-R,7,7,52,"8,64%",2024-07-02
4º,MBENZ,CLASSE_A,7,4,37,"6,15%",2024-07-02
5º,TOYOTA,COROLLA_GR,7,4,33,"5,48%",2024-07-02
6º,BMW,118i,1,2,28,"4,65%",2024-07-02
1º,FIAT,CRONOS,3400,2603,19366,"50,11%",2024-07-02
2º,HYUNDAI,HB20S,3759,3048,17129,"44,32%",2024-07-02
3º,RENAULT,LOGAN,312,644,2137,"5,53%",2024-07-02
4º,VW,VOYAGE,2,1,8,"0,02%",2024-07-02
5º,FIAT,SIENA,1,2,6,"0,02%",2024-07-02
6º,FORD,KA_SEDAN,0,0,1,"0,00%",2024-07-02
7º,GM,PRISMA,0,0,1,"0,00%",2024-07-02
1º,GM,ONIX_PLUS,6538,4864,34771,"43,51%",2024-07-02
2º,VW,VIRTUS,2560,2906,17892,"22,39%",2024-07-02
3º,TOYOTA,YARIS_SEDAN,2088,2291,12063,"15,10%",2024-07-02
4º,HONDA,CITY,1343,1701,7901,"9,89%",2024-07-02
5º,NISSAN,VERSA,1275,1327,7277,"9,11%",2024-07-02
6º,GM,COBALT,1,0,1,"0,00%",2024-07-02
1º,TOYOTA,COROLLA,3189,3500,20002,"65,12%",2024-07-02
2º,NISSAN,SENTRA,494,728,3260,"10,61%",2024-07-02
3º,BYD,SEAL,283,221,2413,"7,86%",2024-07-02
4º,VW,JETTA,271,245,1795,"5,84%",2024-07-02
5º,HONDA,CIVIC,107,146,844,"2,75%",2024-07-02
6º,GM,CRUZE_SEDAN,40,27,745,"2,43%",2024-07-02
7º,BYD,KING,78,593,671,"2,18%",2024-07-02
8º,MBENZ,CLA200,47,62,295,"0,96%",2024-07-02
9º,AUDI,A3_SEDAN,29,31,242,"0,79%",2024-07-02
10º,AUDI,A5,38,35,209,"0,68%",2024-07-02
11º,BMW,420I,9,8,72,"0,23%",2024-07-02
12º,MBENZ,CLA45,8,3,52,"0,17%",2024-07-02
13º,MBENZ,CLA35,16,14,44,"0,14%",2024-07-02
14º,CAOA_CHERY,ARRIZO_6,0,1,25,"0,08%",2024-07-02
15º,BMW,218I,3,2,17,"0,06%",2024-07-02
16º,JAC,E-J7,1,1,13,"0,04%",2024-07-02
17º,TESLA,MODEL_3,2,0,4,"0,01%",2024-07-02
18º,HYUNDAI,IONIQ,0,0,3,"0,01%",2024-07-02
19º,HYUNDAI,ELANTRA,1,0,2,"0,01%",2024-07-02
20º,KIA,CERATO,0,1,2,"0,01%",2024-07-02
21º,CITROEN,C4_PALLAS,0,1,1,"0,00%",2024-07-02
1º,BMW,320I,424,332,2415,"56,48%",2024-07-02
2º,MBENZ,CLASSE_C,65,220,804,"18,80%",2024-07-02
3º,BMW,330E,46,68,223,"5,22%",2024-07-02
4º,PORSCHE,PANAMERA,28,16,214,"5,00%",2024-07-02
5º,HONDA,ACCORD,15,11,125,"2,92%",2024-07-02
6º,AUDI,A4,19,12,91,"2,13%",2024-07-02
7º,MBENZ,CLA200,1,1,81,"1,89%",2024-07-02
8º,LEXUS,ES300,14,10,69,"1,61%",2024-07-02
9º,BMW,I4,11,16,55,"1,29%",2024-07-02
10º,BMW,530E,4,33,39,"0,91%",2024-07-02
11º,BYD,HAN,1,4,31,"0,72%",2024-07-02
12º,TOYOTA,CAMRY,4,0,25,"0,58%",2024-07-02
1º,FIAT,PALIO_WEEKEND,1,0,1,"33,33%",2024-07-02
2º,FORD,BELINA,0,0,1,"33,33%",2024-07-02
3º,VW,SPACE_FOX,0,0,1,"33,33%",2024-07-02
1º,AUDI,RS6_AVANT,11,7,45,"97,83%",2024-07-02
2º,VW,QUANTUM,0,0,1,"2,17%",2024-07-02
1º,GM,BOLT,0,0,14,"82,35%",2024-07-02
2º,FIAT,DOBLO,1,0,2,"11,76%",2024-07-02
3º,HONDA,FIT,0,0,1,"5,88%",2024-07-02
1º,GM,SPIN,2253,2370,11785,"99,35%",2024-07-02
2º,KIA,CARNIVAL,0,37,40,"0,34%",2024-07-02
3º,CHRYSLER,PACIFICA,3,1,14,"0,12%",2024-07-02
